athleteId,fullName,slug,weight,displayHeight,height,age,dateOfBirth,citizenship,positionAbbreviation,teamId,appearances_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,teamName,teamPrimaryColor,teamSecondaryColor,teamLogo,shot_accuracy,conversion_rate,on_target_conversion_rate,save_percentage,discipline_score,goals_pct_pos,assists_pct_pos,shot_accuracy_pct_pos,fouls_suff_pct_pos,fouls_comm_pct_pos,conversion_pct_pos,on_target_conv_pct_pos,goals_pct_global,assists_pct_global,shot_accuracy_pct_global,fouls_suff_pct_global,fouls_comm_pct_global,goals_conc_pct_pos,save_pct_pos,saves_pct_pos,yellow_cards_pct_pos,red_cards_pct_pos,offsides_pct_pos,chances_created
42250,Tom Heaton,tom-heaton,185.0,"6' 2""",74.0,39.0,1986-04-15T08:00Z,England,G,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Man United,#da020e,#144992,https://a.espncdn.com/i/teamlogos/soccer/500/360.png,,,,,0,50.609756097560975,47.5609756097561,,29.268292682926827,43.90243902439025,,,29.934640522875817,30.065359477124183,,14.117647058823529,15.42483660130719,77.4390243902439,,21.341463414634145,64.6341463414634,50.0,67.07317073170731,0
42359,John Ruddy,john-ruddy,212.0,"6' 4""",76.0,39.0,1986-10-24T07:00Z,England,G,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Newcastle,#000000,#cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/361.png,,,,,0,50.609756097560975,47.5609756097561,,29.268292682926827,43.90243902439025,,,29.934640522875817,30.065359477124183,,14.117647058823529,15.42483660130719,77.4390243902439,,21.341463414634145,64.6341463414634,50.0,67.07317073170731,0
43575,Matt Doherty,matt-doherty,174.0,"6' 1""",73.0,33.0,1992-01-16T08:00Z,Republic of Ireland,D,380,30,17,11,6,0,1,1,4,4,11,2,0,15,35,Wolves,#fdb913,#cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/380.png,0.36363636363636365,0.18181818181818182,0.5,,6,90.0749063670412,76.02996254681648,71.98952879581152,68.91385767790263,70.59925093632958,87.69633507853402,80.79470198675497,77.25490196078432,67.3202614379085,64.73988439306359,62.35294117647059,69.73856209150327,23.970037453183522,,81.46067415730337,11.797752808988761,54.49438202247191,15.730337078651687,10
45548,Adam Rhys Davies,adam-rhys-davies,163.0,"6' 1""",73.0,33.0,1992-07-17T07:00Z,Wales,G,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sheffield Utd,#f42727,#1D428A,https://a.espncdn.com/i/teamlogos/soccer/500/398.png,,,,,0,50.609756097560975,47.5609756097561,,29.268292682926827,43.90243902439025,,,29.934640522875817,30.065359477124183,,14.117647058823529,15.42483660130719,77.4390243902439,,21.341463414634145,64.6341463414634,50.0,67.07317073170731,0
48128,Miguel Almirón,miguel-almiron,152.0,"5' 9""",69.0,31.0,1994-02-10T08:00Z,Paraguay,M,361,9,1,3,0,0,0,0,1,2,5,0,0,0,3,Newcastle,#000000,#cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/361.png,0.4,0.0,0.0,,0,26.304347826086953,25.43478260869565,81.32183908045977,33.47826086956522,25.43478260869565,18.67816091954023,14.838709677419354,29.934640522875817,30.065359477124183,73.41040462427746,40.849673202614376,32.745098039215684,70.0,,16.956521739130434,83.47826086956522,54.56521739130435,54.56521739130435,3
72487,David Brooks,david-brooks,137.0,"5' 8""",68.0,28.0,1997-07-08T07:00Z,Wales,M,349,29,11,18,3,0,0,0,0,12,25,2,0,2,12,Bournemouth,#f42727,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,0.48,0.08,0.16666666666666666,,3,73.91304347826086,25.43478260869565,91.37931034482759,64.56521739130436,46.73913043478261,61.49425287356321,36.12903225806451,77.25490196078432,30.065359477124183,85.74181117533719,73.66013071895425,58.56209150326798,54.56521739130435,,50.21739130434783,43.04347826086956,54.56521739130435,81.30434782608695,18
77403,Lukasz Fabianski,lukasz-fabianski,183.0,"6' 3""",75.0,40.0,1985-04-18T08:00Z,Poland,G,371,14,2,1,2,0,0,0,1,0,0,0,171,50,21,West Ham,#7c2c3b,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/371.png,,,,0.704225352112676,2,50.609756097560975,47.5609756097561,,62.80487804878049,96.34146341463415,,,29.934640522875817,30.065359477124183,,30.84967320261438,36.60130718954248,30.48780487804879,64.58333333333334,71.95121951219512,17.07317073170732,50.0,28.65853658536585,0
78836,Carlos Forbs,carlos-forbs,137.0,"5' 7""",67.0,21.0,2004-03-19T08:00Z,Portugal,F,380,10,2,1,2,0,0,0,0,0,3,0,0,0,9,Wolves,#fdb913,#cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/380.png,0.0,0.0,,,2,18.817204301075268,23.387096774193548,5.033557046979865,25.268817204301076,29.03225806451613,11.073825503355705,,29.934640522875817,30.065359477124183,7.321772639691715,30.84967320261438,36.60130718954248,59.67741935483871,,28.49462365591398,34.67741935483872,52.41935483870967,78.49462365591398,1
83176,Jonny Evans,jonny-evans,170.0,"6' 2""",74.0,37.0,1988-01-03T08:00Z,Northern Ireland,D,360,7,5,6,1,0,0,0,0,1,2,0,0,1,2,Man United,#da020e,#144992,https://a.espncdn.com/i/teamlogos/soccer/500/360.png,0.5,0.0,0.0,,1,35.0187265917603,33.89513108614232,87.43455497382199,55.80524344569289,39.325842696629216,29.05759162303665,23.509933774834437,29.934640522875817,30.065359477124183,88.82466281310212,51.045751633986924,43.72549019607843,73.78277153558052,,32.20973782771536,60.48689138576779,54.49438202247191,78.08988764044943,0
83526,Wayne Hennessey,wayne-hennessey,196.0,"6' 6""",78.0,38.0,1987-01-24T08:00Z,Wales,G,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nottm Forest,#c8102e,#132257,https://a.espncdn.com/i/teamlogos/soccer/500/393.png,,,,,0,50.609756097560975,47.5609756097561,,29.268292682926827,43.90243902439025,,,29.934640522875817,30.065359477124183,,14.117647058823529,15.42483660130719,77.4390243902439,,21.341463414634145,64.6341463414634,50.0,67.07317073170731,0
85285,Tim Krul,tim-krul,183.0,"6' 4""",76.0,37.0,1988-04-03T08:00Z,Netherlands,G,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luton,#ff4f00,#1D428A,https://a.espncdn.com/i/teamlogos/soccer/500/301.png,,,,,0,50.609756097560975,47.5609756097561,,29.268292682926827,43.90243902439025,,,29.934640522875817,30.065359477124183,,14.117647058823529,15.42483660130719,77.4390243902439,,21.341463414634145,64.6341463414634,50.0,67.07317073170731,0
85472,Adam Lallana,adam-lallana,161.0,"5' 8""",68.0,37.0,1988-05-10T07:00Z,England,M,376,14,7,8,4,0,0,2,1,0,3,0,0,2,8,Southampton,#ED1A3B,#f1ee13,https://a.espncdn.com/i/teamlogos/soccer/500/376.png,0.0,0.0,,,4,26.304347826086953,70.86956521739131,5.747126436781609,44.78260869565218,39.565217391304344,18.67816091954023,,29.934640522875817,78.82352941176471,7.321772639691715,55.62091503267974,49.411764705882355,61.08695652173913,,50.21739130434783,33.04347826086956,54.56521739130435,54.56521739130435,4
88274,Jack Francis,jack-francis,161.0,"5' 11""",71.0,22.0,2003-09-23T07:00Z,England,M,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arsenal,#e20520,#132257,https://a.espncdn.com/i/teamlogos/soccer/500/359.png,,,,,0,26.304347826086953,25.43478260869565,,11.956521739130435,11.956521739130435,,,29.934640522875817,30.065359477124183,,14.117647058823529,15.42483660130719,89.13043478260869,,16.956521739130434,83.47826086956522,54.56521739130435,81.30434782608695,0
92885,Asmir Begovic,asmir-begovic,223.0,"6' 6""",78.0,38.0,1987-06-20T07:00Z,Bosnia and Herzegovina,G,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Everton,#0606fa,#132257,https://a.espncdn.com/i/teamlogos/soccer/500/368.png,,,,,0,50.609756097560975,47.5609756097561,,29.268292682926827,43.90243902439025,,,29.934640522875817,30.065359477124183,,14.117647058823529,15.42483660130719,77.4390243902439,,21.341463414634145,64.6341463414634,50.0,67.07317073170731,0
93193,Fraser Forster,fraser-forster,203.0,"6' 7""",79.0,37.0,1988-03-17T08:00Z,England,G,367,7,0,0,0,0,0,0,1,0,0,0,87,29,15,Spurs,#ffffff,#9bafd8,https://a.espncdn.com/i/teamlogos/soccer/500/367.png,,,,0.6590909090909091,0,50.609756097560975,47.5609756097561,,29.268292682926827,43.90243902439025,,,29.934640522875817,30.065359477124183,,14.117647058823529,15.42483660130719,36.58536585365854,39.58333333333333,66.46341463414635,64.6341463414634,50.0,28.65853658536585,0
93435,Ryan Christie,ryan-christie,152.0,"5' 10""",70.0,30.0,1995-02-22T08:00Z,Scotland,M,349,29,42,31,9,0,0,3,6,12,32,2,0,11,28,Bournemouth,#f42727,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,0.375,0.0625,0.16666666666666666,,9,73.91304347826086,81.08695652173913,76.14942528735632,82.17391304347827,88.26086956521739,50.57471264367817,36.12903225806451,77.25490196078432,85.88235294117646,66.47398843930635,87.6470588235294,95.03267973856208,32.39130434782609,,91.95652173913044,7.173913043478265,54.56521739130435,11.08695652173914,41
96970,Cristian Romero,cristian-romero,172.0,"6' 1""",73.0,27.0,1998-04-27T07:00Z,Argentina,D,367,18,14,12,3,0,0,1,2,7,16,1,0,3,21,Spurs,#ffffff,#9bafd8,https://a.espncdn.com/i/teamlogos/soccer/500/367.png,0.4375,0.0625,0.14285714285714285,,3,77.71535580524345,76.02996254681648,80.89005235602095,71.34831460674157,64.60674157303372,63.35078534031413,48.675496688741724,66.60130718954248,67.3202614379085,79.57610789980733,64.31372549019608,63.39869281045751,42.134831460674164,,41.19850187265918,36.89138576779026,54.49438202247191,33.52059925093633,7
100918,Jay Rodríguez,jay-rodriguez,183.0,"6' 1""",73.0,36.0,1989-07-29T07:00Z,England,F,379,21,17,6,0,0,0,1,0,8,21,2,0,1,16,Burnley,#6C1D45,#1a1a1a,https://a.espncdn.com/i/teamlogos/soccer/500/379.png,0.38095238095238093,0.09523809523809523,0.25,,0,53.494623655913976,54.56989247311827,50.33557046979866,39.784946236559136,68.54838709677419,45.63758389261745,32.22222222222222,77.25490196078432,67.3202614379085,68.01541425818883,51.045751633986924,69.73856209150327,50.806451612903224,,64.51612903225806,80.64516129032258,52.41935483870967,78.49462365591398,0
102053,Joe Gomez,joe-gomez,174.0,"6' 2""",74.0,28.0,1997-05-23T07:00Z,England,D,364,9,2,3,1,0,0,0,1,2,4,0,0,6,8,Liverpool,#d11317,#132257,https://a.espncdn.com/i/teamlogos/soccer/500/364.png,0.5,0.0,0.0,,1,35.0187265917603,33.89513108614232,87.43455497382199,42.13483146067416,30.711610486891384,29.05759162303665,23.509933774834437,29.934640522875817,30.065359477124183,88.82466281310212,40.849673202614376,36.60130718954248,61.79775280898877,,54.68164794007491,60.48689138576779,54.49438202247191,48.12734082397003,2
102368,Evanilson,evanilson,174.0,"6' 0""",72.0,26.0,1999-10-06T07:00Z,Brazil,F,349,31,35,53,1,1,0,1,2,30,73,10,0,3,30,Bournemouth,#f42727,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,0.410958904109589,0.136986301369863,0.3333333333333333,,3,88.70967741935483,54.56989247311827,65.43624161073825,97.31182795698925,94.35483870967742,64.09395973154362,51.48148148148148,96.9281045751634,67.3202614379085,75.81888246628131,97.77777777777777,92.09150326797385,22.58064516129032,,84.40860215053763,52.41935483870967,2.9569892473118244,30.91397849462365,24
104943,Andrew Robertson,andrew-robertson,139.0,"5' 10""",70.0,31.0,1994-03-11T08:00Z,Scotland,D,364,33,10,8,3,1,1,1,7,3,17,0,0,4,32,Liverpool,#d11317,#132257,https://a.espncdn.com/i/teamlogos/soccer/500/364.png,0.17647058823529413,0.0,0.0,,5,35.0187265917603,76.02996254681648,33.50785340314136,61.61048689138576,56.92883895131086,29.05759162303665,23.509933774834437,29.934640522875817,67.3202614379085,23.892100192678228,55.62091503267974,56.666666666666664,27.153558052434462,,46.62921348314607,36.89138576779026,4.86891385767791,4.68164794007491,0
106139,Lewis Hall,lewis-hall,161.0,"5' 10""",70.0,21.0,2004-09-08T07:00Z,England,D,361,27,9,21,3,0,0,4,5,2,12,0,0,19,31,Newcastle,#000000,#cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/361.png,0.16666666666666666,0.0,0.0,,3,35.0187265917603,96.06741573033707,31.93717277486911,86.14232209737828,54.30711610486891,29.05759162303665,23.509933774834437,29.934640522875817,90.45751633986929,22.736030828516377,77.84313725490196,54.70588235294118,28.838951310861432,,87.26591760299625,36.89138576779026,54.49438202247191,10.112359550561806,29
107542,Alex McCarthy,alex-mccarthy,172.0,"6' 4""",76.0,36.0,1989-12-03T08:00Z,England,G,376,5,0,1,0,0,0,0,1,0,0,0,74,24,13,Southampton,#ED1A3B,#f1ee13,https://a.espncdn.com/i/teamlogos/soccer/500/376.png,,,,0.6486486486486487,0,50.609756097560975,47.5609756097561,,62.80487804878049,43.90243902439025,,,29.934640522875817,30.065359477124183,,30.84967320261438,15.42483660130719,37.80487804878049,31.25,60.97560975609756,64.6341463414634,50.0,28.65853658536585,0
108662,Robert Sánchez,robert-sanchez,196.0,"6' 6""",78.0,28.0,1997-11-18T08:00Z,Spain,G,363,32,2,4,5,0,0,0,7,0,0,0,288,95,34,Chelsea,#144992,#ffeeee,https://a.espncdn.com/i/teamlogos/soccer/500/363.png,,,,0.7364341085271318,5,50.609756097560975,47.5609756097561,,85.36585365853658,96.34146341463415,,,29.934640522875817,30.065359477124183,,44.31372549019608,36.60130718954248,22.5609756097561,83.33333333333334,84.14634146341463,3.6585365853658516,50.0,6.707317073170728,2
111114,Jason Steele,jason-steele,172.0,"6' 2""",74.0,35.0,1990-08-18T07:00Z,England,G,331,2,0,1,0,0,0,0,0,0,0,0,17,3,1,Brighton,#0606fa,#ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500/331.png,,,,0.75,0,50.609756097560975,47.5609756097561,,62.80487804878049,43.90243902439025,,,29.934640522875817,30.065359477124183,,30.84967320261438,15.42483660130719,54.26829268292683,90.625,46.95121951219512,64.6341463414634,50.0,67.07317073170731,0
115271,Danny Welbeck,danny-welbeck,161.0,"6' 1""",73.0,35.0,1990-11-26T08:00Z,England,F,331,30,9,23,5,0,0,4,1,21,60,10,0,4,36,Brighton,#0606fa,#ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500/331.png,0.35,0.16666666666666666,0.47619047619047616,,5,88.70967741935483,82.52688172043011,42.281879194630875,71.23655913978494,48.924731182795696,75.83892617449665,85.18518518518519,96.9281045751634,90.45751633986929,62.23506743737958,79.86928104575163,54.70588235294118,16.129032258064512,,89.24731182795699,8.602150537634415,52.41935483870967,48.655913978494624,22
121473,Aaron Cresswell,aaron-cresswell,146.0,"5' 7""",67.0,36.0,1989-12-15T08:00Z,England,D,371,18,4,2,3,0,0,0,1,0,6,0,0,4,7,West Ham,#7c2c3b,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/371.png,0.0,0.0,,,3,35.0187265917603,33.89513108614232,10.732984293193718,36.70411985018727,36.329588014981276,29.05759162303665,,29.934640522875817,30.065359477124183,7.321772639691715,36.470588235294116,41.96078431372549,63.48314606741573,,46.62921348314607,36.89138576779026,54.49438202247191,48.12734082397003,8
122268,Adam Smith,adam-smith,172.0,"5' 11""",71.0,34.0,1991-04-29T07:00Z,England,D,349,25,19,12,7,0,0,0,1,0,3,0,0,5,18,Bournemouth,#f42727,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,0.0,0.0,,,7,35.0187265917603,33.89513108614232,10.732984293193718,71.34831460674157,73.97003745318352,29.05759162303665,,29.934640522875817,30.065359477124183,7.321772639691715,64.31372549019608,73.26797385620914,45.88014981273408,,50.936329588014985,8.239700374531836,54.49438202247191,48.12734082397003,8
123518,Jordan Ayew,jordan-ayew,174.0,"6' 0""",72.0,34.0,1991-09-11T07:00Z,Ghana,F,375,32,32,59,7,0,0,0,1,8,34,5,0,1,41,Leicester,#0202fb,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/375.png,0.23529411764705882,0.14705882352941177,0.625,,7,70.16129032258065,23.387096774193548,18.120805369127517,98.9247311827957,91.66666666666666,69.46308724832215,97.77777777777777,89.54248366013073,30.065359477124183,34.104046242774565,98.82352941176471,88.95424836601306,9.408602150537632,,64.51612903225806,4.032258064516128,52.41935483870967,48.655913978494624,16
124091,Bruno Fernandes,bruno-fernandes,146.0,"5' 10""",70.0,31.0,1994-09-08T07:00Z,Portugal,M,360,36,30,40,4,2,0,11,12,28,94,8,0,6,46,Man United,#da020e,#144992,https://a.espncdn.com/i/teamlogos/soccer/500/360.png,0.2978723404255319,0.0851063829787234,0.2857142857142857,,8,96.73913043478261,99.56521739130434,51.724137931034484,89.56521739130436,76.52173913043478,64.65517241379311,58.06451612903226,94.64052287581698,99.6078431372549,48.554913294797686,93.0718954248366,87.84313725490196,7.826086956521735,,72.3913043478261,33.04347826086956,0.21739130434782794,0.6521739130434696,85
126703,Martin Dúbravka,martin-dubravka,183.0,"6' 3""",75.0,36.0,1989-01-15T08:00Z,Slovakia,G,361,10,0,1,0,0,0,0,1,0,0,0,98,29,12,Newcastle,#000000,#cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/361.png,,,,0.7073170731707317,0,50.609756097560975,47.5609756097561,,62.80487804878049,43.90243902439025,,,29.934640522875817,30.065359477124183,,30.84967320261438,15.42483660130719,39.63414634146341,66.66666666666666,66.46341463414635,64.6341463414634,50.0,28.65853658536585,0
127865,Nathaniel Clyne,nathaniel-clyne,148.0,"5' 9""",69.0,34.0,1991-04-05T08:00Z,England,D,384,13,2,2,1,0,0,0,2,0,2,0,0,2,10,C Palace,#0202fb,#ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500/384.png,0.0,0.0,,,1,35.0187265917603,33.89513108614232,10.732984293193718,36.70411985018727,30.711610486891384,29.05759162303665,,29.934640522875817,30.065359477124183,7.321772639691715,36.470588235294116,36.60130718954248,58.052434456928836,,36.70411985018727,60.48689138576779,54.49438202247191,33.52059925093633,3
129358,Kyle Walker,kyle-walker,174.0,"6' 0""",72.0,35.0,1990-05-28T07:00Z,England,D,382,15,6,5,3,0,0,0,0,2,5,0,0,4,21,Man City,#99c5ea,#e6ff00,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,0.4,0.0,0.0,,3,35.0187265917603,33.89513108614232,77.4869109947644,51.12359550561798,43.82022471910113,29.05759162303665,23.509933774834437,29.934640522875817,30.065359477124183,73.41040462427746,47.97385620915033,46.470588235294116,42.134831460674164,,46.62921348314607,36.89138576779026,54.49438202247191,78.08988764044943,7
129737,Michail Antonio,michail-antonio,181.0,"5' 11""",71.0,35.0,1990-03-28T08:00Z,Jamaica,M,371,14,9,7,1,0,0,1,2,4,19,1,0,0,17,West Ham,#7c2c3b,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/371.png,0.21052631578947367,0.05263157894736842,0.25,,1,60.652173913043484,57.826086956521735,31.03448275862069,42.608695652173914,44.130434782608695,43.96551724137931,51.29032258064517,66.60130718954248,67.3202614379085,30.828516377649322,53.59477124183007,54.70588235294118,49.1304347826087,,16.956521739130434,61.95652173913043,54.56521739130435,40.21739130434783,8
131424,Ilkay Gündogan,ilkay-gundogan,174.0,"5' 11""",71.0,35.0,1990-10-24T07:00Z,Germany,M,382,33,15,27,1,0,0,6,5,7,27,1,0,0,28,Man City,#99c5ea,#e6ff00,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,0.25925925925925924,0.037037037037037035,0.14285714285714285,,1,60.652173913043484,92.3913043478261,41.95402298850575,77.82608695652173,53.2608695652174,39.6551724137931,32.25806451612903,66.60130718954248,95.03267973856208,39.78805394990366,83.8562091503268,65.09803921568627,32.39130434782609,,16.956521739130434,61.95652173913043,54.56521739130435,16.304347826086953,42
